karmn,Name,RAJ2000,DEJ2000,Teff,e_Teff,E_Teff,logg,e_logg,E_logg,[M/H],e_[M/H],E_[M/H],vsini,e_vsini,E_vsini
J22137-176,LP 819-052,333.43259243982,-17.68710496885,3254,12,46,4.93,0.03,0.06,-0.01,0.12,0.1,2.7,0.24,0.17
J22252+594,G 232-070,336.32217871078,59.41245983212,3415,24,37,4.85,0.07,0.02,0.07,0.09,0.03,2.41,0.14,0.26
J22298+414,G 215-050,337.46118352864,41.48216136441,3361,24,32,4.9,0.06,0.02,0.07,0.19,0.02,1.94,0.41,0.34
J22330+093,BD+08 4887,338.26170115163,9.37860496034,3804,45,30,4.71,0.05,0.02,-0.16,0.05,0.1,2.81,0.27,0.26
J22503-070,BD-07 5871,342.58045730563,-7.08964409656,3969,58,40,4.68,0.04,0.02,0.01,0.09,0.07,2.74,0.25,0.45
J22518+317,GT Peg,342.9758008164,31.75400550315,3371,14,60,4.8,0.03,0.05,0.13,0.11,0.03,16.56,0.25,0.56
J22532-142,IL Aqr,343.32411100184,-14.26668939352,3353,26,28,4.88,0.06,0.01,0.06,0.13,0.01,2.18,0.2,0.26
J22559+178,StKM 1-2065,343.99947178423,17.81056564096,3853,31,64,4.68,0.03,0.02,0.05,0.02,0.08,2.96,0.17,0.48
J22565+165,HD 216899,344.14022173121,16.55216937228,3813,27,60,4.68,0.03,0.02,0.08,0.03,0.07,2.88,0.11,0.51
J23113+085,NLTT 56083,,,3409,22,33,4.84,0.05,0.04,0.0,0.12,0.03,2.39,0.19,0.29
J23216+172,LP 462-027,350.40353663497,17.28424239876,3407,24,42,4.85,0.07,0.02,0.07,0.08,0.06,2.25,0.14,0.3
J23245+578,BD+57 2735,351.1266282815,57.85305705753,3838,29,59,4.68,0.03,0.02,0.1,0.04,0.07,2.91,0.11,0.49
J23340+001,GJ 899,353.50947982974,0.17524273262,3730,31,38,4.73,0.04,0.05,-0.22,0.07,0.1,1.6,0.1,0.45
J23381-162,G 273-093,354.53268726382,-16.23651363027,3603,43,17,4.77,0.03,0.07,-0.27,0.09,0.1,2.28,0.25,0.17
J23419+441,HH And,355.48001525816,44.17037570075,3131,34,14,5.05,0.09,0.07,0.09,0.11,0.12,2.4,0.64,0.23
J23431+365,GJ 1289,355.78150915638,36.53631037729,3205,19,22,4.96,0.04,0.07,-0.05,0.13,0.12,3.89,0.43,0.15
J23492+024,BR Psc,357.30660382313,2.3969179442,3912,61,21,4.75,0.07,0.04,-0.43,0.12,0.11,1.5,0.08,0.31
J23505-095,LP 763-012,357.63470522772,-9.56096439189,3310,27,31,4.89,0.06,0.02,0.09,0.14,0.02,2.36,0.25,0.25
J23556-061,GJ 912,358.91361665432,-6.14428302714,3662,18,49,4.69,0.01,0.05,0.11,0.03,0.06,2.98,0.11,0.44
J23585+076,Wolf 1051,359.63641970584,7.65694708118,3507,23,40,4.87,0.06,0.03,-0.1,0.06,0.1,3.33,0.2,0.2
